Data;22027 - Saldo das operações de crédito por atividade econômica - Agropecuária - R$ (milhões);22043 - Saldo das operações de crédito por atividade econômica - Indústria total - R$ (milhões);22044 - Saldo das operações de crédito por atividade econômica - Serviços total - R$ (milhões)
jan/19;25.829;663.171;714.899
fev/19;26.241;659.253;719.344
mar/19;26.850;654.673;736.561
abr/19;26.847;646.331;729.146
mai/19;27.060;645.444;731.823
jun/19;25.437;633.696;744.694
jul/19;24.689;624.603;730.883
ago/19;25.442;628.078;743.876
set/19;25.560;626.549;762.767
out/19;25.165;618.517;757.367
nov/19;25.663;619.940;775.063
dez/19;25.802;621.535;800.217
jan/20;25.392;610.706;779.651
fev/20;25.641;612.168;789.656
mar/20;26.812;656.587;838.371
abr/20;27.243;674.728;844.227
mai/20;27.127;679.852;852.836
jun/20;29.505;681.999;893.865
jul/20;29.242;692.286;908.488
ago/20;30.259;701.951;934.330
set/20;31.182;713.908;974.272
out/20;31.718;717.046;995.333
nov/20;33.944;729.277;1.017.487
dez/20;33.999;730.951;1.019.319
jan/21;34.242;722.492;1.012.522
fev/21;34.850;724.676;1.019.444
mar/21;36.261;734.847;1.041.591
abr/21;35.318;735.422;1.041.381
mai/21;35.217;737.103;1.047.101
jun/21;35.724;730.930;1.061.736
jul/21;36.226;729.416;1.080.328
ago/21;36.775;733.586;1.087.816
set/21;37.986;746.910;1.118.376
out/21;38.788;749.767;1.130.668
nov/21;39.515;753.207;1.147.821
dez/21;40.346;768.121;1.178.851
jan/22;40.414;758.353;1.158.996
fev/22;39.599;766.253;1.179.113
mar/22;39.716;779.593;1.191.022
abr/22;40.759;779.199;1.194.684
mai/22;41.385;791.425;1.195.414
jun/22;42.582;804.082;1.220.382
jul/22;43.291;800.455;1.217.773
ago/22;44.149;802.312;1.232.195
set/22;45.354;812.941;1.264.924
out/22;45.592;803.827;1.258.328
nov/22;46.194;813.989;1.288.693
dez/22;46.537;832.740;1.298.200
jan/23;46.533;811.225;1.287.715
fev/23;46.779;810.986;1.279.839
mar/23;45.173;820.091;1.295.845
abr/23;45.086;816.103;1.289.802
mai/23;45.033;819.054;1.287.825
jun/23;44.391;828.871;1.303.678
jul/23;44.962;820.956;1.287.955
ago/23;48.350;830.370;1.297.530
set/23;49.295;838.235;1.330.913
out/23;49.638;832.779;1.326.351
nov/23;50.111;837.357;1.332.167
dez/23;50.631;857.211;1.373.976
jan/24;50.412;837.186;1.339.262
fev/24;50.901;840.277;1.348.833
mar/24;52.453;860.801;1.370.896
abr/24;52.293;855.136;1.362.839
mai/24;52.180;859.810;1.373.167
jun/24;53.238;885.046;1.398.296
jul/24;52.931;884.916;1.389.990
ago/24;52.692;885.880;1.421.751
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
